Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000108395,TRIM37,protein_coding,2863,3127,2701,2982,3752,1133,1182,3340
ENSG00000108405,P2RX1,protein_coding,0,1,0,0,0,0,0,1
ENSG00000108406,DHX40,protein_coding,4538,5157,3341,3705,1333,546,401,1136
ENSG00000108417,KRT37,protein_coding,0,1,0,0,196,56,3,11
ENSG00000108423,TUBD1,protein_coding,575,645,619,645,328,89,128,346
ENSG00000108424,KPNB1,protein_coding,22446,26653,26748,29714,9055,2706,2732,7983
ENSG00000108433,GOSR2,protein_coding,1551,1883,1202,1560,1630,563,744,1852
ENSG00000108439,PNPO,protein_coding,1293,1487,1974,2565,1625,619,1167,3049
ENSG00000108443,RPS6KB1,protein_coding,2580,3073,2387,2830,1690,523,464,1339
ENSG00000108465,CDK5RAP3,protein_coding,991,1079,813,819,103,35,34,157
ENSG00000108468,CBX1,protein_coding,8615,9000,6371,8050,3394,1119,1118,3320
ENSG00000108469,RECQL5,protein_coding,949,1120,845,1218,166,54,99,202
ENSG00000108474,PIGL,protein_coding,344,388,269,324,168,44,56,167
ENSG00000108479,GALK1,protein_coding,134,164,122,288,252,81,125,340
ENSG00000108506,INTS2,protein_coding,1639,1885,2083,2094,1551,526,670,1643
ENSG00000108509,CAMTA2,protein_coding,2875,3180,1771,2753,408,172,189,484
ENSG00000108510,MED13,protein_coding,3742,4166,2996,3161,7894,2440,2218,6010
ENSG00000108511,HOXB6,protein_coding,94,119,128,185,223,82,144,379
ENSG00000108515,ENO3,protein_coding,1300,1383,874,1083,55,17,16,53
ENSG00000108518,PFN1,protein_coding,27101,30555,26372,34332,18993,7075,7660,21541
ENSG00000108523,RNF167,protein_coding,4235,5255,4492,5995,2320,797,992,2841
ENSG00000108528,SLC25A11,protein_coding,1584,1947,1908,2970,603,242,279,742
ENSG00000108551,RASD1,protein_coding,108,107,71,100,33,12,19,41
ENSG00000108556,CHRNE,protein_coding,41,40,22,31,6,0,1,7
ENSG00000108557,RAI1,protein_coding,3728,4214,2437,3195,607,214,262,676
ENSG00000108559,NUP88,protein_coding,2389,2796,2625,3262,1917,597,787,2192
ENSG00000108561,C1QBP,protein_coding,11660,14443,15901,18302,4416,1313,1771,4501
ENSG00000108576,SLC6A4,protein_coding,0,0,5,2,0,0,0,1
ENSG00000108578,BLMH,protein_coding,1621,1922,2160,2616,78,24,60,136
ENSG00000108582,CPD,protein_coding,5716,6407,6920,7075,2992,952,1000,2785
ENSG00000108587,GOSR1,protein_coding,3309,3644,3549,3954,827,276,395,983
ENSG00000108588,CCDC47,protein_coding,11336,13300,11363,12103,12410,3815,2474,6632
ENSG00000108590,MED31,protein_coding,613,817,605,613,582,170,169,445
ENSG00000108591,DRG2,protein_coding,1658,1825,1255,1789,371,159,223,589
ENSG00000108592,FTSJ3,protein_coding,3364,4113,3846,5120,983,336,450,1178
ENSG00000108599,AKAP10,protein_coding,2107,2141,1604,1867,1294,387,390,998
ENSG00000108602,ALDH3A1,protein_coding,2,7,8,2,5,0,6,4
ENSG00000108604,SMARCD2,protein_coding,4481,5137,5429,7531,1639,635,714,2043
ENSG00000108622,ICAM2,protein_coding,0,0,1,0,0,0,0,3
ENSG00000108639,SYNGR2,protein_coding,5051,6070,5825,9199,909,330,623,1357
ENSG00000108641,B9D1,protein_coding,369,356,312,386,118,66,95,234
ENSG00000108651,UTP6,protein_coding,2696,3386,3486,4036,810,268,339,1012
ENSG00000108654,DDX5,protein_coding,47278,54348,41387,50272,15047,4820,5351,14071
ENSG00000108666,C17orf75,protein_coding,1401,1652,1820,2014,305,136,183,457
ENSG00000108669,CYTH1,protein_coding,1743,2083,1743,2006,880,346,287,664
ENSG00000108671,PSMD11,protein_coding,5711,6971,5394,6677,4527,1494,1712,4449
ENSG00000108679,LGALS3BP,protein_coding,795,877,810,1214,5005,2193,926,2525
ENSG00000108684,ASIC2,protein_coding,0,0,0,0,17,2,0,9
ENSG00000108688,CCL7,protein_coding,0,0,1,0,0,0,0,0
ENSG00000108691,CCL2,protein_coding,31,38,44,34,62,14,57,175
ENSG00000108700,CCL8,protein_coding,7,8,14,29,0,0,0,0
ENSG00000108702,CCL1,protein_coding,0,0,0,1,0,0,0,0
ENSG00000108733,PEX12,protein_coding,652,756,1024,1119,204,78,148,344
ENSG00000108759,KRT32,protein_coding,4,1,1,2,88,34,19,53
ENSG00000108771,DHX58,protein_coding,153,204,254,300,0,0,0,0
ENSG00000108773,KAT2A,protein_coding,2943,3421,3239,4257,0,0,0,0
ENSG00000108774,RAB5C,protein_coding,2762,2940,2811,3645,0,0,0,0
ENSG00000108784,NAGLU,protein_coding,838,955,598,1047,35,13,22,73
ENSG00000108786,HSD17B1,protein_coding,58,53,82,145,6,1,3,7
ENSG00000108788,MLX,protein_coding,3868,4543,3159,3935,956,323,493,1319
ENSG00000108797,CNTNAP1,protein_coding,161,203,181,202,52,15,21,37
ENSG00000108798,ABI3,protein_coding,34,52,60,100,1,1,1,1
ENSG00000108799,EZH1,protein_coding,1346,1592,1333,1486,231,81,107,311
ENSG00000108813,DLX4,protein_coding,5,2,0,1,281,88,51,121
ENSG00000108819,PPP1R9B,protein_coding,4763,5590,3995,5210,373,121,256,639
ENSG00000108821,COL1A1,protein_coding,2314,2414,941,1110,180,50,73,260
ENSG00000108823,SGCA,protein_coding,1,1,0,0,0,0,0,0
ENSG00000108825,PTGES3L-AARSD1,protein_coding,0,0,0,0,0,0,0,0
ENSG00000108826,MRPL27,protein_coding,780,931,1008,1483,678,228,417,1029
ENSG00000108828,VAT1,protein_coding,3753,3882,2247,3936,3734,1374,1535,4040
ENSG00000108829,LRRC59,protein_coding,4847,5761,6333,7411,5628,1964,1882,4803
